sensor fstar      alpha      beta       Δfstar     Δalpha     Δbeta     
ma     2.038e+13  0.02591    0.999917   2.037e+10  3.3330e-05 5.9605e-08
mb     2.038e+13  0.03506    0.999883   2.020e+10  1.4391e-05 1.7881e-07
n06    2.038e+13  0.04082    0.999862   1.779e+10  9.6921e-05 2.3842e-07
n07    2.037e+13  0.03892    0.999869   1.764e+10  7.7080e-05 1.7881e-07
n08    2.037e+13  0.03831    0.999871   1.705e+10  1.8680e-04 5.9605e-07
n09    2.040e+13  0.03792    0.999872   1.732e+10  1.1463e-05 1.7881e-07
n10    2.041e+13  0.03875    0.999869   1.761e+10  4.9658e-05 5.9605e-08
n11    2.037e+13  0.03843    0.999870   1.753e+10  9.0353e-05 2.3842e-07
n12    2.041e+13  0.03996    0.999865   1.756e+10  1.6179e-04 4.7684e-07
n14    2.039e+13  0.03761    0.999873   1.788e+10  1.5502e-04 4.1723e-07
n15    2.037e+13  0.03381    0.999887   2.041e+10  8.5719e-05 1.7881e-07
n16    2.040e+13  0.03574    0.999880   2.079e+10  1.8608e-04 5.3644e-07
n17    2.040e+13  0.03504    0.999883   2.061e+10  2.4190e-04 7.7486e-07
n18    2.043e+13  0.02726    0.999912   2.047e+10  3.0041e-05 5.9605e-08
n19    2.041e+13  0.02658    0.999914   2.046e+10  3.8596e-05 0.0000e+00
tn     2.042e+13  -0.07296   1.000278   1.739e+10  1.0306e-04 1.1921e-07
