sensor fstar      alpha      beta       Δfstar     Δalpha     Δbeta     
ma     6.633e+13  -0.01418   0.999638   2.751e+10  1.0274e-05 4.7684e-07
mb     6.583e+13  -0.40342   0.997439   2.715e+10  8.3357e-05 2.8014e-06
n06    6.629e+13  -0.01022   0.999664   2.109e+10  1.2909e-05 3.5763e-07
n07    6.614e+13  -0.04122   0.999466   2.099e+10  3.1069e-05 3.5763e-07
n08    6.627e+13  -0.00483   0.999646   2.107e+10  1.5408e-05 3.5763e-07
n09    6.625e+13  -0.00706   0.999667   2.106e+10  1.2998e-05 3.5763e-07
n10    6.614e+13  -0.03923   0.999469   2.099e+10  1.4793e-05 4.1723e-07
n11    6.628e+13  0.02755    0.999862   2.108e+10  2.2803e-05 1.1921e-07
n12    6.629e+13  0.00705    0.999755   2.109e+10  1.6552e-05 2.3842e-07
n14    6.626e+13  0.08637    1.000182   2.106e+10  2.8215e-05 0.0000e+00
n15    6.628e+13  0.01273    0.999779   2.747e+10  1.3467e-05 3.5763e-07
n16    6.613e+13  -0.04229   0.999486   2.735e+10  5.1595e-06 6.5565e-07
n17    6.631e+13  0.00724    0.999747   2.757e+10  1.4284e-04 1.4901e-06
n18    6.626e+13  0.04398    0.999954   2.745e+10  1.1515e-05 2.3842e-07
n19    6.641e+13  0.02169    0.999836   2.758e+10  7.8026e-06 3.5763e-07
tn     6.632e+13  -0.00749   0.999667   2.111e+10  2.3212e-05 2.9802e-07
