sensor fstar      alpha      beta       Δfstar     Δalpha     Δbeta     
ma     2.006e+13  0.01592    0.999952   4.353e+09  1.1306e-06 0.0000e+00
mb     2.007e+13  0.01746    0.999947   4.327e+09  1.5851e-06 0.0000e+00
n06    2.004e+13  0.02461    0.999920   1.976e+10  2.9609e-05 0.0000e+00
n07    2.004e+13  0.02160    0.999931   1.969e+10  3.1404e-06 5.9605e-08
n08    2.001e+13  0.03630    0.999876   2.020e+10  9.7003e-05 2.3842e-07
n09    2.003e+13  0.02710    0.999910   1.964e+10  5.1111e-05 5.9605e-08
n10    2.003e+13  0.02661    0.999912   1.983e+10  6.2915e-05 1.7881e-07
n11    2.007e+13  0.03065    0.999898   2.153e+10  1.0032e-03 3.6359e-06
n12    2.003e+13  0.02877    0.999904   1.966e+10  9.3032e-05 2.3842e-07
n14    2.007e+13  0.01921    0.999940   1.978e+10  3.2632e-05 5.9605e-08
n15    2.007e+13  0.01690    0.999949   4.357e+09  4.3418e-06 0.0000e+00
n16    2.010e+13  0.01653    0.999950   4.498e+09  1.6585e-05 5.9605e-08
n17    2.007e+13  0.01725    0.999947   4.337e+09  5.9605e-07 0.0000e+00
n18    2.005e+13  0.01514    0.999955   4.344e+09  1.0030e-06 0.0000e+00
n19    2.008e+13  0.01519    0.999955   4.355e+09  1.5730e-06 0.0000e+00
tn     2.011e+13  -0.09875   1.000379   1.960e+10  1.2559e-03 5.0068e-06
