sensor fstar      alpha      beta       Δfstar     Δalpha     Δbeta     
ma     6.711e+13  0.01806    0.999806   2.037e+10  1.0837e-05 2.3842e-07
mb     6.699e+13  -0.00219   0.999680   2.030e+10  8.5656e-06 3.5763e-07
n06    6.710e+13  0.00407    0.999705   2.693e+10  1.3246e-05 4.1723e-07
n07    6.715e+13  -0.01973   0.999565   2.698e+10  6.7241e-06 5.9605e-07
n08    6.711e+13  -0.00353   0.999685   2.694e+10  9.4329e-06 4.1723e-07
n09    6.726e+13  0.00146    0.999709   2.704e+10  5.5952e-05 1.7881e-07
n10    6.711e+13  -0.04842   0.999401   2.693e+10  4.1083e-05 5.3644e-07
n11    6.709e+13  -0.06889   0.999301   2.693e+10  7.3761e-07 7.7486e-07
n12    6.712e+13  0.00099    0.999679   2.697e+10  2.1375e-05 6.5565e-07
n14    6.707e+13  0.01262    0.999759   2.691e+10  3.6675e-06 4.7684e-07
n15    6.709e+13  0.07649    1.000127   2.035e+10  1.4946e-05 0.0000e+00
n16    6.697e+13  0.00302    0.999712   2.028e+10  7.1528e-06 2.9802e-07
n17    6.696e+13  0.00079    0.999695   2.028e+10  3.7320e-06 3.5763e-07
n18    6.715e+13  0.03527    0.999895   2.038e+10  1.1142e-05 1.7881e-07
n19    6.695e+13  -0.00396   0.999695   2.026e+10  6.4764e-06 3.5763e-07
tn     6.710e+13  -0.01925   0.999550   2.695e+10  1.2927e-06 6.5565e-07
