sensor fstar      alpha      beta       Δfstar     Δalpha     Δbeta     
ma     2.195e+13  0.04438    0.999860   1.900e+10  7.8823e-05 1.1921e-07
mb     2.195e+13  0.04832    0.999847   1.898e+10  9.1698e-05 1.1921e-07
n06    2.197e+13  0.05783    0.999815   1.919e+10  1.2156e-04 1.7881e-07
n07    2.202e+13  0.06140    0.999803   1.924e+10  1.2612e-04 2.3842e-07
n08    2.197e+13  0.06130    0.999803   1.917e+10  1.2276e-04 1.7881e-07
n09    2.199e+13  0.06426    0.999793   1.887e+10  1.8476e-04 4.7684e-07
n10    2.199e+13  0.06241    0.999799   1.923e+10  1.2100e-04 2.3842e-07
n11    2.197e+13  0.05622    0.999819   1.892e+10  8.5533e-06 1.7881e-07
n12    2.197e+13  0.07371    0.999765   1.940e+10  3.5557e-04 9.5367e-07
n14    2.197e+13  0.05365    0.999828   1.920e+10  1.1951e-04 2.3842e-07
n15    2.196e+13  0.04599    0.999855   1.898e+10  7.6670e-05 1.1921e-07
n16    2.194e+13  0.04496    0.999858   1.890e+10  1.5274e-06 1.1921e-07
n17    2.196e+13  0.04734    0.999850   1.901e+10  8.1457e-05 1.1921e-07
n18    2.195e+13  0.04514    0.999858   1.898e+10  8.1692e-05 1.1921e-07
n19    2.201e+13  0.04401    0.999862   1.908e+10  7.5519e-05 1.1921e-07
tn     2.197e+13  0.06014    0.999807   1.915e+10  1.1681e-04 1.7881e-07
