sensor fstar      alpha      beta       Δfstar     Δalpha     Δbeta     
ma     7.544e+13  0.03256    0.999574   3.056e+10  7.4018e-05 2.9802e-07
mb     7.542e+13  0.02226    0.999480   3.056e+10  7.0125e-05 6.5565e-07
n06    7.542e+13  0.03991    0.999572   2.413e+10  5.9657e-05 2.9802e-07
n07    7.544e+13  0.09515    0.999943   2.414e+10  6.0529e-05 1.1921e-07
n08    7.540e+13  0.04110    0.999560   2.412e+10  6.1862e-05 3.5763e-07
n09    7.552e+13  0.08896    0.999901   2.420e+10  6.4135e-05 1.1921e-07
n10    7.540e+13  0.08565    0.999897   2.412e+10  5.9254e-05 1.7881e-07
n11    7.529e+13  0.00232    0.999369   2.405e+10  5.4501e-05 4.1723e-07
n12    7.542e+13  0.06600    0.999729   2.414e+10  6.5647e-05 2.3842e-07
n14    7.529e+13  -0.00783   0.999341   2.406e+10  4.6486e-05 4.7684e-07
n15    7.555e+13  0.05925    0.999776   3.066e+10  6.7946e-05 2.3842e-07
n16    7.550e+13  0.03352    0.999605   3.058e+10  9.9435e-05 0.0000e+00
n17    7.555e+13  0.05180    0.999694   3.067e+10  6.6452e-05 4.7684e-07
n18    7.533e+13  -0.05781   0.998963   3.048e+10  6.2071e-05 7.7486e-07
n19    7.550e+13  0.01509    0.999482   3.062e+10  5.5926e-05 5.9605e-07
tn     7.522e+13  -0.00400   0.999192   2.401e+10  6.5726e-05 5.3644e-07
