sensor fstar      alpha      beta       Δfstar     Δalpha     Δbeta     
ma     2.069e+13  0.04373    0.999854   1.715e+10  6.9320e-05 1.1921e-07
mb     2.071e+13  0.04796    0.999838   1.720e+10  8.1018e-05 1.7881e-07
n06    2.070e+13  0.05311    0.999819   1.575e+10  8.9731e-05 1.7881e-07
n07    2.076e+13  0.05600    0.999809   1.586e+10  1.9181e-04 5.3644e-07
n08    2.071e+13  0.05712    0.999804   1.575e+10  8.5555e-05 1.7881e-07
n09    2.074e+13  0.05263    0.999821   1.580e+10  8.1439e-05 1.1921e-07
n10    2.074e+13  0.05554    0.999810   1.586e+10  9.4697e-05 1.7881e-07
n11    2.070e+13  0.05298    0.999820   1.629e+10  6.7107e-04 2.3246e-06
n12    2.070e+13  0.05428    0.999815   1.573e+10  9.3848e-05 1.7881e-07
n14    2.069e+13  0.03664    0.999879   1.575e+10  5.3857e-05 1.1921e-07
n15    2.072e+13  0.04606    0.999845   1.717e+10  7.0885e-05 1.1921e-07
n16    2.074e+13  0.04623    0.999844   1.740e+10  1.0713e-04 2.3842e-07
n17    2.075e+13  0.04571    0.999846   1.723e+10  6.8430e-05 1.1921e-07
n18    2.069e+13  0.04535    0.999849   1.746e+10  3.0424e-04 9.5367e-07
n19    2.067e+13  0.04283    0.999857   1.711e+10  7.3373e-05 1.1921e-07
tn     2.072e+13  0.05224    0.999822   1.566e+10  1.2244e-04 2.9802e-07
