sensor fstar      alpha      beta       Δfstar     Δalpha     Δbeta     
ma     6.569e+13  0.02937    0.999889   2.041e+10  6.3535e-06 1.7881e-07
mb     6.562e+13  0.10494    1.000230   2.037e+10  1.7688e-05 0.0000e+00
n06    6.569e+13  0.00567    0.999762   2.672e+10  7.6778e-06 4.1723e-07
n07    6.545e+13  0.02667    0.999827   2.655e+10  3.3114e-05 6.5565e-07
n08    6.563e+13  0.02034    0.999824   2.662e+10  1.3755e-04 3.5763e-07
n09    6.570e+13  0.00302    0.999740   2.671e+10  4.5683e-05 2.9802e-07
n10    6.571e+13  0.06209    1.000029   2.681e+10  1.5150e-04 9.5367e-07
n11    6.579e+13  0.14826    1.000478   2.709e+10  3.8816e-04 3.6955e-06
n12    6.567e+13  0.05303    0.999990   2.671e+10  4.5747e-06 2.3842e-07
n14    6.571e+13  -0.00402   0.999683   2.678e+10  8.0031e-05 1.1325e-06
n15    6.569e+13  0.10029    1.000218   2.041e+10  1.2159e-05 0.0000e+00
n16    6.559e+13  0.01713    0.999772   2.035e+10  4.6715e-06 2.9802e-07
n17    6.562e+13  0.10271    1.000226   2.037e+10  1.8127e-05 0.0000e+00
n18    6.569e+13  0.04525    0.999973   2.041e+10  8.2105e-06 1.7881e-07
n19    6.553e+13  0.01122    0.999794   2.031e+10  5.5544e-06 2.3842e-07
tn     6.576e+13  0.05902    1.000028   2.677e+10  1.3135e-05 2.3842e-07
