sensor fstar      alpha      beta       Δfstar     Δalpha     Δbeta     
ma     6.736e+13  0.02725    0.999862   2.274e+10  9.7733e-06 2.3842e-07
mb     6.722e+13  -0.03536   0.999475   2.265e+10  9.2797e-06 5.3644e-07
n06    6.807e+13  0.01085    0.999756   2.714e+11  1.4452e-04 3.5763e-06
n07    6.811e+13  0.01859    0.999782   2.716e+11  4.0617e-04 1.9670e-06
n08    6.810e+13  0.00490    0.999701   2.716e+11  2.3801e-04 3.5763e-06
n09    6.824e+13  0.09146    1.000060   2.729e+11  4.6199e-04 1.6689e-06
n10    6.802e+13  0.00875    0.999727   2.709e+11  3.3559e-04 2.9802e-06
n11    6.803e+13  0.02588    0.999841   2.711e+11  1.6137e-04 2.9206e-06
n12    6.796e+13  -0.03783   0.999447   2.706e+11  1.6715e-04 5.7817e-06
n14    6.807e+13  0.06794    1.000083   2.714e+11  3.0763e-04 2.3842e-07
n15    6.721e+13  -0.01393   0.999596   2.265e+10  1.0524e-05 4.1723e-07
n16    6.726e+13  0.00998    0.999734   2.269e+10  7.3789e-06 4.7684e-07
n17    6.716e+13  -0.02297   0.999552   2.262e+10  1.5793e-05 5.9605e-07
n18    6.741e+13  0.04594    0.999967   2.278e+10  1.2998e-05 1.7881e-07
n19    6.739e+13  0.01445    0.999792   2.276e+10  8.0802e-06 2.9802e-07
tn     6.816e+13  0.03355    0.999724   2.722e+11  4.5056e-04 3.6359e-06
