sensor fstar      alpha      beta       Δfstar     Δalpha     Δbeta     
ma     3.089e+13  0.20979    0.999779   4.292e+10  3.9741e-05 1.1325e-06
mb     3.091e+13  0.17632    0.999803   4.324e+10  6.2244e-04 1.2517e-06
n06    3.084e+13  0.09842    0.999798   3.208e+10  3.0717e-04 2.9802e-07
n07    3.079e+13  0.09774    0.999792   3.196e+10  2.7399e-04 2.9802e-07
n08    3.081e+13  0.16474    0.999750   3.189e+10  2.7987e-04 4.7684e-07
n09    3.095e+13  0.24381    0.999707   3.230e+10  7.3507e-05 7.1526e-07
n10    3.084e+13  0.09773    0.999794   3.230e+10  3.0819e-04 4.1723e-07
n11    3.096e+13  0.18611    0.999728   3.222e+10  1.3083e-04 3.5763e-07
n12    3.078e+13  0.09928    0.999790   3.195e+10  2.9006e-04 2.9802e-07
n14    3.087e+13  0.12018    0.999781   3.222e+10  4.6783e-04 2.9802e-07
n15    3.099e+13  0.18818    0.999774   4.321e+10  1.9595e-04 7.7486e-07
n16    3.101e+13  0.21882    0.999757   4.331e+10  2.5108e-05 8.3447e-07
n17    3.090e+13  0.17945    0.999792   4.292e+10  2.5199e-04 9.5367e-07
n18    3.091e+13  0.20061    0.999775   4.298e+10  1.2460e-04 9.5367e-07
n19    3.085e+13  0.06820    0.999870   4.290e+10  2.7111e-04 2.3842e-07
tn     3.086e+13  0.23143    0.999705   3.205e+10  3.0115e-05 6.5565e-07
