sensor fstar      alpha      beta       Δfstar     Δalpha     Δbeta     
ma     2.403e+13  0.03601    0.999901   2.512e+10  8.0030e-05 1.1921e-07
mb     2.408e+13  0.03940    0.999891   2.524e+10  1.0402e-04 1.7881e-07
n06    3.667e+13  0.16349    0.999496   5.420e+12  3.5236e-02 1.3024e-04
n07    3.667e+13  0.27705    0.999562   5.452e+12  1.1174e-01 8.6546e-05
n08    3.665e+13  0.27419    0.999528   5.445e+12  1.0567e-01 1.0353e-04
n09    3.663e+13  0.28045    0.999568   5.443e+12  1.1459e-01 8.2016e-05
n10    3.676e+13  0.38200    0.999559   5.465e+12  6.6595e-02 1.4544e-05
n11    2.388e+13  0.05723    0.999838   2.435e+12  1.3432e-02 2.2650e-05
n12    3.667e+13  0.29027    0.999535   5.451e+12  1.1682e-01 9.3460e-05
n14    2.389e+13  0.05994    0.999829   2.436e+12  1.4064e-02 2.4259e-05
n15    2.404e+13  0.03787    0.999896   2.510e+10  8.1901e-05 1.1921e-07
n16    2.411e+13  0.03679    0.999899   2.552e+10  1.4370e-04 2.9802e-07
n17    2.405e+13  0.04056    0.999888   2.538e+10  2.2016e-04 5.3644e-07
n18    2.403e+13  0.03758    0.999897   2.508e+10  8.4370e-05 1.1921e-07
n19    2.407e+13  0.03759    0.999898   2.519e+10  8.6565e-05 1.1921e-07
tn     3.664e+13  0.27969    0.999529   5.424e+12  1.8838e-02 5.2214e-05
