sensor fstar      alpha      beta       Δfstar     Δalpha     Δbeta     
ma     4.592e+13  0.15154    0.999820   8.013e+10  3.7700e-06 1.9670e-06
mb     4.603e+13  0.16165    0.999832   8.102e+10  1.1290e-03 7.1526e-07
n06    4.459e+13  0.69405    0.999890   6.591e+11  1.7404e-02 1.6868e-05
n07    4.458e+13  0.44681    0.999445   6.571e+11  1.2310e-02 2.0027e-05
n08    4.449e+13  0.33026    0.999231   6.537e+11  9.2542e-03 3.7730e-05
n09    4.451e+13  0.37348    0.999250   6.545e+11  1.0588e-02 3.4392e-05
n10    4.458e+13  0.52783    0.999586   6.575e+11  1.4099e-02 7.4506e-06
n11    4.449e+13  0.51515    0.999772   6.553e+11  1.2234e-02 1.7881e-06
n12    4.436e+13  0.19795    0.998914   6.487e+11  6.7536e-03 6.1631e-05
n14    4.451e+13  0.46608    0.999727   6.598e+11  2.2162e-02 1.6391e-05
n15    4.597e+13  0.28074    1.000122   8.041e+10  2.4205e-04 5.9605e-07
n16    4.588e+13  0.29506    1.000129   8.006e+10  5.3617e-04 9.5367e-07
n17    4.592e+13  0.30737    1.000162   8.021e+10  5.0861e-04 8.3447e-07
n18    4.603e+13  0.25807    1.000060   8.058e+10  2.4310e-04 2.3842e-07
n19    4.598e+13  0.22011    1.000002   8.038e+10  1.9751e-04 1.1921e-07
tn     4.458e+13  0.56565    0.999694   6.581e+11  1.4294e-02 2.9802e-07
