sensor fstar      alpha      beta       Δfstar     Δalpha     Δbeta     
ma     2.699e+13  0.24364    0.999530   3.680e+10  1.6573e-04 6.5565e-07
mb     2.700e+13  0.25272    0.999516   6.128e+10  1.4340e-01 1.9556e-04
n06    2.703e+13  0.24970    0.999522   3.117e+10  1.7747e-04 5.3644e-07
n07    2.693e+13  0.11295    0.999702   3.097e+10  3.1055e-04 4.7684e-07
n08    2.698e+13  0.11112    0.999709   3.102e+10  3.3630e-04 4.7684e-07
n09    2.697e+13  0.22395    0.999552   3.113e+10  8.6874e-05 7.1526e-07
n10    2.699e+13  0.24059    0.999533   3.092e+10  1.8969e-04 4.7684e-07
n11    2.704e+13  0.24502    0.999525   3.144e+10  8.4177e-05 3.5763e-07
n12    2.697e+13  0.11135    0.999709   3.118e+10  3.3052e-04 4.7684e-07
n14    2.698e+13  0.16619    0.999635   3.074e+10  2.8902e-04 7.1526e-07
n15    2.695e+13  0.23059    0.999492   3.674e+10  6.8724e-05 4.7684e-07
n16    2.696e+13  0.22810    0.999491   3.659e+10  3.6274e-04 1.0729e-06
n17    2.702e+13  0.21508    0.999508   3.674e+10  7.6622e-05 2.9802e-07
n18    2.702e+13  0.11082    0.999709   3.694e+10  4.0371e-04 6.5565e-07
n19    2.699e+13  0.11014    0.999711   3.687e+10  4.1053e-04 7.1526e-07
tn     2.702e+13  0.26995    0.999466   3.127e+10  2.4387e-04 2.9802e-07
